,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
231,Hays,US,2020-05-08 03:33:39,30.05,-98.03,77.0,82,84,3.0,broken clouds,0.0,0.0
232,Fukue,JP,2020-05-08 03:33:40,32.69,128.84,71.6,64,75,13.87,broken clouds,0.0,0.0
233,Diebougou,BF,2020-05-08 03:33:40,10.97,-3.25,81.55,58,73,4.14,broken clouds,0.0,0.0
234,Saint Anthony,US,2020-05-08 03:33:40,45.02,-93.22,50.0,23,1,12.75,clear sky,0.0,0.0
235,Auki,SB,2020-05-08 03:33:40,-8.77,160.7,83.14,79,91,4.85,light rain,0.5,0.0
236,Port Elizabeth,ZA,2020-05-08 03:33:40,-33.92,25.57,60.8,82,100,16.11,overcast clouds,0.0,0.0
237,Tateyama,JP,2020-05-08 03:33:40,34.98,139.87,69.01,42,15,9.17,few clouds,0.0,0.0
238,Pangnirtung,CA,2020-05-08 03:33:41,66.15,-65.71,19.85,84,58,2.84,broken clouds,0.0,0.0
239,Kamenka,RU,2020-05-08 03:33:41,51.32,42.77,57.0,89,100,5.99,overcast clouds,0.0,0.0
240,Umm Kaddadah,SD,2020-05-08 03:33:41,13.6,26.69,78.94,16,95,15.12,overcast clouds,0.0,0.0
241,Kharp,RU,2020-05-08 03:33:41,66.8,65.81,41.67,95,100,6.69,overcast clouds,0.0,0.0
242,Portland,US,2020-05-08 03:30:54,45.52,-122.68,69.01,29,37,3.0,scattered clouds,0.0,0.0
243,Thompson,CA,2020-05-08 03:32:04,55.74,-97.86,28.4,68,75,8.05,broken clouds,0.0,0.0
244,Taoudenni,ML,2020-05-08 03:33:42,22.68,-3.98,97.54,17,94,16.73,overcast clouds,0.0,0.0
245,Puerto Suarez,BO,2020-05-08 03:33:42,-18.95,-57.8,54.66,57,64,3.76,broken clouds,0.0,0.0
246,Port Macquarie,AU,2020-05-08 03:33:42,-31.43,152.92,75.99,43,0,1.01,clear sky,0.0,0.0
247,Kargil,IN,2020-05-08 03:33:42,34.57,76.1,40.44,57,31,0.94,scattered clouds,0.0,0.0
248,Fukumitsu,JP,2020-05-08 03:33:42,36.55,136.87,69.01,39,0,9.17,clear sky,0.0,0.0
249,Pevek,RU,2020-05-08 03:33:42,69.7,170.31,33.44,89,25,1.88,scattered clouds,0.0,0.0
250,Mancora,PE,2020-05-08 03:33:42,-4.11,-81.05,78.94,63,48,10.2,scattered clouds,0.0,0.0
251,Bowen,AU,2020-05-08 03:33:43,-20.02,148.23,82.0,57,90,13.87,overcast clouds,0.0,0.0
252,Ukiah,US,2020-05-08 03:30:58,39.15,-123.21,78.8,21,1,3.42,clear sky,0.0,0.0
253,Victoria,HK,2020-05-08 03:30:29,22.29,114.16,87.01,70,93,11.01,overcast clouds,0.0,0.0
254,Turukhansk,RU,2020-05-08 03:33:43,65.82,87.98,40.14,72,90,15.26,overcast clouds,0.0,0.0
255,Chapais,CA,2020-05-08 03:33:43,49.78,-74.85,24.8,73,75,10.29,broken clouds,0.0,0.0
256,Mandalgovi,MN,2020-05-08 03:33:43,45.76,106.27,55.71,36,71,12.82,light rain,0.32,0.0
257,Azare,NG,2020-05-08 03:33:44,11.68,10.19,76.46,26,46,2.55,scattered clouds,0.0,0.0
258,Daru,PG,2020-05-08 03:33:44,-9.08,143.21,82.94,71,90,14.29,overcast clouds,0.0,0.0
259,Longhua,CN,2020-05-08 03:33:44,23.61,114.19,90.45,57,96,6.29,overcast clouds,0.0,0.0
260,Korla,CN,2020-05-08 03:33:44,41.76,86.15,67.14,22,60,11.16,broken clouds,0.0,0.0
261,Tuatapere,NZ,2020-05-08 03:33:44,-46.13,167.68,52.52,82,92,1.74,overcast clouds,0.0,0.0
262,Qiryat Gat,IL,2020-05-08 03:33:00,31.61,34.76,63.0,85,0,3.36,clear sky,0.0,0.0
263,Forio,IT,2020-05-08 03:33:45,40.73,13.86,60.01,71,0,1.99,clear sky,0.0,0.0
264,Cockburn Town,TC,2020-05-08 03:33:45,21.46,-71.14,80.8,81,48,8.55,light rain,0.94,0.0
265,Chengde,CN,2020-05-08 03:33:45,40.97,117.94,56.23,80,100,5.97,overcast clouds,0.0,0.0
266,Zlobin,HR,2020-05-08 03:33:45,45.29,14.65,46.99,83,30,5.01,scattered clouds,0.0,0.0
267,Mar Del Plata,AR,2020-05-08 03:32:31,-38.0,-57.56,51.01,93,43,8.05,scattered clouds,0.0,0.0
268,Puerto Escondido,MX,2020-05-08 03:33:46,15.85,-97.07,82.85,68,28,4.43,scattered clouds,0.0,0.0
269,Darhan,MN,2020-05-08 03:33:46,49.49,105.92,55.56,39,100,12.21,overcast clouds,0.0,0.0
270,Madang,PG,2020-05-08 03:33:46,-5.22,145.8,83.82,80,100,6.13,light rain,0.96,0.0
271,Mahanoro,MG,2020-05-08 03:33:46,-19.9,48.8,72.18,91,82,8.1,broken clouds,0.0,0.0
272,Magistralnyy,RU,2020-05-08 03:33:46,56.17,107.45,38.39,90,100,6.55,light rain,0.55,0.0
273,Richards Bay,ZA,2020-05-08 03:33:46,-28.78,32.04,63.09,91,0,6.38,clear sky,0.0,0.0
274,Kaya,BF,2020-05-08 03:33:47,13.09,-1.08,84.92,22,46,0.43,scattered clouds,0.0,0.0
275,Biaora,IN,2020-05-08 03:33:47,23.87,76.92,97.9,11,0,3.65,clear sky,0.0,0.0
276,College,US,2020-05-08 03:33:47,64.86,-147.8,68.0,22,75,4.7,broken clouds,0.0,0.0
277,Berbera,SO,2020-05-08 03:33:47,10.44,45.01,88.36,65,71,5.88,broken clouds,0.0,0.0
278,Gigmoto,PH,2020-05-08 03:33:47,13.78,124.39,87.67,60,74,4.36,broken clouds,0.0,0.0
279,Yar-Sale,RU,2020-05-08 03:33:47,66.83,70.83,40.33,99,99,16.4,overcast clouds,0.0,0.0
280,Lagoa,PT,2020-05-08 03:33:48,39.05,-27.98,61.0,70,10,25.48,clear sky,0.0,0.0
281,Olesnica,PL,2020-05-08 03:33:48,51.21,17.39,39.0,100,74,3.36,fog,0.0,0.0
282,Tiksi,RU,2020-05-08 03:33:48,71.69,128.87,18.23,95,100,16.04,overcast clouds,0.0,0.0
283,Mongoumba,CF,2020-05-08 03:33:48,3.64,18.59,70.16,98,100,3.15,moderate rain,3.94,0.0
284,Ostersund,SE,2020-05-08 03:33:48,63.18,14.64,37.4,55,100,8.05,overcast clouds,0.0,0.0
285,Kamaishi,JP,2020-05-08 03:33:49,39.27,141.88,69.8,30,20,4.7,few clouds,0.0,0.0
286,Yarim,YE,2020-05-08 03:33:49,14.3,44.38,60.48,58,30,5.1,scattered clouds,0.0,0.0
287,Halifax,CA,2020-05-08 03:29:39,44.65,-63.57,34.0,76,20,5.93,few clouds,0.0,0.0
288,San Carlos De Bariloche,AR,2020-05-08 03:33:49,-41.15,-71.31,48.0,100,75,3.76,fog,0.0,0.0
289,Changde,CN,2020-05-08 03:33:20,29.05,111.68,67.37,88,100,10.51,light rain,0.12,0.0
290,Makakilo City,US,2020-05-08 03:33:49,21.35,-158.09,80.6,88,90,12.75,moderate rain,3.56,0.0
291,Paraiso,CR,2020-05-08 03:33:50,9.84,-83.87,71.6,88,75,3.36,broken clouds,0.0,0.0
292,Mayo,US,2020-05-08 03:33:50,38.89,-76.51,59.0,47,1,4.7,clear sky,0.0,0.0
293,Inongo,CD,2020-05-08 03:33:50,-1.95,18.27,72.18,96,100,7.07,moderate rain,3.46,0.0
294,Zyryanka,RU,2020-05-08 03:33:50,65.75,150.85,35.55,90,12,8.61,few clouds,0.0,0.0
295,Winnemucca,US,2020-05-08 03:33:50,40.97,-117.74,64.4,10,1,10.29,clear sky,0.0,0.0
296,Matara,LK,2020-05-08 03:33:50,5.95,80.54,84.07,74,99,4.68,overcast clouds,0.0,0.0
297,Half Moon Bay,US,2020-05-08 03:33:47,37.46,-122.43,75.2,27,5,10.29,clear sky,0.0,0.0
298,San Nicolas,PH,2020-05-08 03:33:51,18.17,120.6,89.6,75,20,9.17,few clouds,0.0,0.0
299,Nouadhibou,MR,2020-05-08 03:31:31,20.93,-17.03,64.4,82,0,21.92,clear sky,0.0,0.0
300,Sikasso,ML,2020-05-08 03:33:51,10.92,-7.0,81.86,61,39,6.04,scattered clouds,0.0,0.0
301,La Fria,VE,2020-05-08 03:33:51,8.22,-72.24,77.49,68,95,3.8,overcast clouds,0.0,0.0
302,Saint-Pierre,RE,2020-05-08 03:33:51,-21.34,55.48,75.2,73,100,6.93,overcast clouds,0.0,0.0
303,Chaiya,TH,2020-05-08 03:33:52,9.39,99.2,93.99,66,20,2.24,few clouds,0.0,0.0
304,Sao Joao Da Barra,BR,2020-05-08 03:33:52,-21.64,-41.05,65.73,91,100,12.15,overcast clouds,0.0,0.0
305,Jalu,LY,2020-05-08 03:33:52,29.03,21.55,68.04,48,0,12.75,clear sky,0.0,0.0
306,Atasu,KZ,2020-05-08 03:33:52,48.68,71.64,65.44,38,100,19.33,overcast clouds,0.0,0.0
307,Ferrol,ES,2020-05-08 03:33:52,43.48,-8.24,57.2,93,90,3.36,mist,0.0,0.0
308,Tautira,PF,2020-05-08 03:33:52,-17.73,-149.15,84.2,70,13,6.93,light rain,0.14,0.0
309,Black River,JM,2020-05-08 03:33:53,18.03,-77.85,80.01,83,20,3.36,few clouds,0.0,0.0
310,Namibe,AO,2020-05-08 03:33:53,-15.2,12.15,78.66,58,0,7.2,clear sky,0.0,0.0
311,Chirilagua,SV,2020-05-08 03:33:53,13.22,-88.14,79.65,85,100,2.93,moderate rain,1.84,0.0
312,Qaqortoq,GL,2020-05-08 03:33:53,60.72,-46.03,39.2,88,40,3.11,scattered clouds,0.0,0.0
313,Farah,AF,2020-05-08 03:33:53,32.5,62.5,80.74,19,0,4.29,clear sky,0.0,0.0
314,Juneau,US,2020-05-08 03:31:53,58.3,-134.42,57.2,44,75,4.7,broken clouds,0.0,0.0
315,Athabasca,CA,2020-05-08 03:33:34,54.72,-113.29,48.72,85,100,4.0,overcast clouds,0.0,0.0
316,Tegh,AM,2020-05-08 03:29:28,39.56,46.48,48.0,75,1,7.92,clear sky,0.0,0.0
317,Alpena,US,2020-05-08 03:33:54,45.06,-83.43,32.0,88,1,5.82,clear sky,0.0,0.0
318,Goderich,CA,2020-05-08 03:33:23,43.75,-81.72,39.0,74,0,18.25,clear sky,0.0,0.0
319,Vaitape,PF,2020-05-08 03:33:54,-16.52,-151.75,82.92,76,0,15.1,clear sky,0.0,0.0
320,Myitkyina,MM,2020-05-08 03:33:54,25.38,97.4,101.12,24,0,1.21,clear sky,0.0,0.0
321,Esperance,AU,2020-05-08 03:33:54,-33.87,121.9,53.6,93,90,17.22,overcast clouds,0.0,0.0
322,Ayan,RU,2020-05-08 03:33:55,56.45,138.17,33.93,89,100,14.88,overcast clouds,0.0,0.0
323,Nanortalik,GL,2020-05-08 03:33:55,60.14,-45.24,38.08,85,84,3.31,broken clouds,0.0,0.0
324,Kalanguy,RU,2020-05-08 03:33:55,51.02,116.52,58.55,33,40,18.16,scattered clouds,0.0,0.0
325,Dingle,PH,2020-05-08 03:33:55,11.0,122.67,94.6,46,98,7.2,overcast clouds,0.0,0.0
326,Calvinia,ZA,2020-05-08 03:33:55,-31.47,19.78,53.6,30,100,3.36,overcast clouds,0.0,0.0
327,Kstovo,RU,2020-05-08 03:33:55,56.15,44.2,57.2,93,20,4.47,few clouds,0.0,0.0
328,Brufut,GM,2020-05-08 03:33:56,13.38,-16.75,71.6,88,91,11.41,overcast clouds,0.0,0.0
329,Show Low,US,2020-05-08 03:30:15,34.25,-110.03,66.2,15,1,8.05,clear sky,0.0,0.0
330,San Borja,BO,2020-05-08 03:33:56,-14.82,-66.85,59.99,71,82,2.82,broken clouds,0.0,0.0
331,Enid,US,2020-05-08 03:30:01,36.4,-97.88,64.4,82,75,14.99,broken clouds,0.0,0.0
332,Buala,SB,2020-05-08 03:33:56,-8.14,159.59,83.88,74,69,4.12,light rain,0.14,0.0
333,Yeniseysk,RU,2020-05-08 03:33:56,58.45,92.17,47.98,56,10,7.14,clear sky,0.0,0.0
334,Sakakah,SA,2020-05-08 03:33:57,29.97,40.21,68.0,28,0,6.93,clear sky,0.0,0.0
335,Anadyr,RU,2020-05-08 03:33:57,64.75,177.48,32.0,93,40,31.32,scattered clouds,0.0,0.0
336,Flinders,AU,2020-05-08 03:33:57,-34.58,150.86,80.01,49,0,7.0,clear sky,0.0,0.0
337,Atar,MR,2020-05-08 03:33:58,20.52,-13.05,79.84,19,0,9.04,clear sky,0.0,0.0
338,Maragogi,BR,2020-05-08 03:33:58,-9.01,-35.22,77.02,84,96,3.67,overcast clouds,0.0,0.0
339,Ngaoundere,CM,2020-05-08 03:33:58,7.32,13.58,66.85,91,100,3.15,overcast clouds,0.0,0.0
340,Huilong,CN,2020-05-08 03:33:58,31.81,121.66,78.01,84,95,3.0,overcast clouds,0.0,0.0
341,Rocha,UY,2020-05-08 03:33:58,-34.48,-54.33,45.64,87,0,5.21,clear sky,0.0,0.0
342,Viedma,AR,2020-05-08 03:33:58,-40.81,-63.0,57.11,47,30,12.35,scattered clouds,0.0,0.0
343,Bambous Virieux,MU,2020-05-08 03:33:59,-20.34,57.76,75.0,94,40,4.09,scattered clouds,0.0,0.0
344,Ongandjera,NA,2020-05-08 03:33:59,-17.88,15.07,61.48,34,0,8.9,clear sky,0.0,0.0
345,Ketchikan,US,2020-05-08 03:33:59,55.34,-131.65,55.4,47,1,11.41,clear sky,0.0,0.0
346,Belen,TR,2020-05-08 03:33:59,36.49,36.22,51.8,100,75,3.36,broken clouds,0.0,0.0
347,Hami,CN,2020-05-08 03:33:59,42.8,93.45,65.32,22,0,7.09,clear sky,0.0,0.0
348,Santo Tomas,PH,2020-05-08 03:30:48,14.11,121.14,95.0,53,20,8.05,few clouds,0.0,0.0
349,Bonoua,CI,2020-05-08 03:34:00,5.27,-3.6,82.4,88,20,4.7,few clouds,0.0,0.0
350,Faanui,PF,2020-05-08 03:34:00,-16.48,-151.75,82.06,77,0,15.19,clear sky,0.0,0.0
351,Carnarvon,AU,2020-05-08 03:34:00,-24.87,113.63,72.32,39,73,21.85,broken clouds,0.0,0.0
352,Nsanje,MW,2020-05-08 03:34:00,-16.92,35.26,64.62,95,83,2.8,broken clouds,0.0,0.0
353,Narsaq,GL,2020-05-08 03:34:00,60.92,-46.05,39.2,84,76,3.29,broken clouds,0.0,0.0
354,Virovitica,HR,2020-05-08 03:34:00,45.83,17.38,43.0,86,0,1.95,clear sky,0.0,0.0
355,Rio Gallegos,AR,2020-05-08 03:34:00,-51.62,-69.22,48.2,87,100,4.7,overcast clouds,0.0,0.0
356,Belle Fourche,US,2020-05-08 03:33:51,44.67,-103.85,37.0,100,75,6.93,broken clouds,0.0,0.0
357,Askiz,RU,2020-05-08 03:34:01,53.13,90.53,50.23,53,100,6.02,overcast clouds,0.0,0.0
358,Nishihara,JP,2020-05-08 03:34:01,26.18,127.76,75.2,88,90,16.11,overcast clouds,0.0,0.0
359,Karavukovo,RS,2020-05-08 03:34:01,45.49,19.19,42.8,81,0,4.7,clear sky,0.0,0.0
360,Lavrentiya,RU,2020-05-08 03:34:01,65.58,-171.0,32.88,91,41,4.79,scattered clouds,0.0,0.0
361,Ancud,CL,2020-05-08 03:34:02,-41.87,-73.82,57.0,100,90,12.75,overcast clouds,0.0,0.0
362,Mount Gambier,AU,2020-05-08 03:30:47,-37.83,140.77,64.4,68,75,17.22,broken clouds,0.0,0.0
363,Preobrazheniye,RU,2020-05-08 03:34:02,42.9,133.91,56.23,50,79,16.2,broken clouds,0.0,0.0
364,Kapit,MY,2020-05-08 03:34:03,2.02,112.93,90.16,70,92,1.21,moderate rain,1.01,0.0
365,Soto La Marina,MX,2020-05-08 03:34:03,23.77,-98.22,78.01,82,5,8.01,clear sky,0.0,0.0
366,Thomastown,IE,2020-05-08 03:34:03,52.53,-7.14,48.0,92,100,2.73,overcast clouds,0.0,0.0
367,Coquimbo,CL,2020-05-08 03:34:03,-29.95,-71.34,57.2,87,84,4.7,broken clouds,0.0,0.0
368,Katobu,ID,2020-05-08 03:34:03,-4.94,122.53,84.16,81,98,7.4,moderate rain,1.82,0.0
369,Vardo,NO,2020-05-08 03:34:03,70.37,31.11,35.6,79,40,18.34,scattered clouds,0.0,0.0
370,Plettenberg Bay,ZA,2020-05-08 03:34:03,-34.05,23.37,61.45,69,70,5.26,broken clouds,0.0,0.0
371,Powell River,CA,2020-05-08 03:34:04,49.85,-124.54,60.8,38,40,5.82,scattered clouds,0.0,0.0
372,Mocuba,MZ,2020-05-08 03:34:04,-16.84,36.99,64.98,98,84,4.43,broken clouds,0.0,0.0
373,Honiara,SB,2020-05-08 03:32:02,-9.43,159.95,87.8,70,40,10.29,scattered clouds,0.0,0.0
374,Karratha,AU,2020-05-08 03:31:01,-20.74,116.85,89.1,35,51,6.58,broken clouds,0.0,0.0
375,Barentu,ER,2020-05-08 03:34:04,15.11,37.59,79.74,52,100,0.67,overcast clouds,0.0,0.0
376,San Jose De Rio Tinto,HN,2020-05-08 03:34:04,14.93,-85.7,72.01,88,30,2.71,scattered clouds,0.0,0.0
377,Ribita,RO,2020-05-08 03:34:05,46.18,22.77,42.44,74,0,2.66,clear sky,0.0,0.0
378,Paita,PE,2020-05-08 03:34:05,-5.09,-81.11,72.59,77,3,12.08,clear sky,0.0,0.0
379,Muros,ES,2020-05-08 03:34:05,42.78,-9.06,55.99,90,65,1.99,broken clouds,0.0,0.0
380,Albina,SR,2020-05-08 03:34:05,5.5,-54.05,73.53,93,68,2.37,broken clouds,0.0,0.0
381,Domoni,KM,2020-05-08 03:34:05,-12.26,44.53,80.22,79,50,12.01,scattered clouds,0.0,0.0
382,Lockhart,US,2020-05-08 03:34:05,28.62,-81.44,64.99,55,1,8.05,clear sky,0.0,0.0
383,Jutai,BR,2020-05-08 03:34:06,-5.18,-68.9,73.65,95,100,3.0,overcast clouds,0.0,0.0
384,Casa Nova,BR,2020-05-08 03:34:06,-9.42,-41.13,77.65,67,97,7.09,light rain,0.14,0.0
385,Woodward,US,2020-05-08 03:34:06,36.43,-99.39,71.6,52,90,12.75,overcast clouds,0.0,0.0
386,Kungurtug,RU,2020-05-08 03:34:06,50.6,97.52,41.79,58,91,11.39,overcast clouds,0.0,0.0
387,Te Anau,NZ,2020-05-08 03:34:06,-45.42,167.72,56.55,75,84,4.41,broken clouds,0.0,0.0
388,Filingue,NE,2020-05-08 03:34:07,14.35,3.32,84.67,14,71,5.79,broken clouds,0.0,0.0
389,Villefranche-Sur-Saone,FR,2020-05-08 03:34:07,45.98,4.72,62.6,63,100,8.05,overcast clouds,0.0,0.0
390,Abu Dhabi,AE,2020-05-08 03:33:10,24.47,54.37,84.2,62,37,8.05,scattered clouds,0.0,0.0
391,Bertoua,CM,2020-05-08 03:34:07,4.58,13.68,68.52,96,40,2.35,scattered clouds,0.0,0.0
392,Camopi,GF,2020-05-08 03:34:07,3.17,-52.32,73.13,97,100,0.27,light rain,0.35,0.0
393,Horsham,GB,2020-05-08 03:34:08,51.06,-0.33,51.01,87,68,1.12,broken clouds,0.0,0.0
394,Tongliao,CN,2020-05-08 03:34:08,43.61,122.27,69.91,22,100,6.29,overcast clouds,0.0,0.0
395,Country Club Hills,US,2020-05-08 03:34:08,41.57,-87.72,46.99,51,1,3.13,clear sky,0.0,0.0
396,Waddan,LY,2020-05-08 03:34:08,29.16,16.14,63.3,77,4,5.59,clear sky,0.0,0.0
397,Nuuk,GL,2020-05-08 03:34:08,64.18,-51.72,39.2,69,90,2.24,overcast clouds,0.0,0.0
398,Petropavlovsk-Kamchatskiy,RU,2020-05-08 03:30:39,53.05,158.65,50.0,31,34,13.42,scattered clouds,0.0,0.0
399,Blackfoot,US,2020-05-08 03:34:09,43.19,-112.34,51.01,36,0,5.01,clear sky,0.0,0.0
400,Nasirabad,IN,2020-05-08 03:34:09,26.3,74.73,95.56,13,0,4.34,clear sky,0.0,0.0
401,Nicoya,CR,2020-05-08 03:30:02,10.15,-85.45,73.0,88,61,21.0,broken clouds,0.0,0.0
402,Alugan,PH,2020-05-08 03:34:09,12.22,125.48,85.51,68,83,7.85,broken clouds,0.0,0.0
403,Khuzhir,RU,2020-05-08 03:34:09,53.19,107.34,40.68,73,85,8.1,overcast clouds,0.0,0.0
404,Karatuzskoye,RU,2020-05-08 03:34:10,53.61,92.87,49.96,49,20,5.1,few clouds,0.0,0.0
405,Ajra,IN,2020-05-08 03:34:10,16.12,74.2,78.8,61,68,3.36,broken clouds,0.0,0.0
406,Bilma,NE,2020-05-08 03:34:10,18.69,12.92,76.75,16,0,4.79,clear sky,0.0,0.0
407,Salalah,OM,2020-05-08 03:34:10,17.02,54.09,82.4,83,0,5.82,clear sky,0.0,0.0
408,Arman,RU,2020-05-08 03:34:10,59.7,150.17,39.58,70,17,4.27,few clouds,0.0,0.0
409,Acapulco,MX,2020-05-08 03:34:10,16.86,-99.89,80.6,69,5,5.82,clear sky,0.0,0.0
410,Kasongo,CD,2020-05-08 03:34:11,-4.45,26.67,69.21,98,100,2.08,overcast clouds,0.0,0.0
411,Castrillon,ES,2020-05-08 03:34:11,43.4,-6.79,57.2,100,94,5.82,thunderstorm,0.0,0.0
412,Brae,GB,2020-05-08 03:34:11,60.4,-1.35,44.6,87,94,9.17,overcast clouds,0.0,0.0
413,Naze,JP,2020-05-08 03:34:11,28.37,129.48,77.0,69,40,17.22,scattered clouds,0.0,0.0
414,Port Augusta,AU,2020-05-08 03:34:11,-32.5,137.77,71.6,40,16,17.22,few clouds,0.0,0.0
415,Zhob,PK,2020-05-08 03:34:11,31.34,69.45,78.82,22,14,3.18,few clouds,0.0,0.0
416,Wanning,CN,2020-05-08 03:34:12,18.8,110.4,87.93,69,66,16.51,broken clouds,0.0,0.0
417,La Roda,ES,2020-05-08 03:34:12,39.22,-2.15,53.01,81,24,4.7,few clouds,0.0,0.0
418,Bogorodskoye,RU,2020-05-08 03:34:12,56.55,37.88,47.28,93,82,6.69,broken clouds,0.0,0.0
419,Port Hardy,CA,2020-05-08 03:30:21,50.7,-127.42,55.4,62,75,5.82,broken clouds,0.0,0.0
420,Jibuti,DJ,2020-05-08 03:31:52,11.5,42.5,86.0,79,40,4.7,scattered clouds,0.0,0.0
421,Coihaique,CL,2020-05-08 03:34:12,-45.58,-72.07,55.4,87,75,3.36,broken clouds,0.0,0.0
422,Sitka,US,2020-05-08 03:33:03,57.05,-135.33,55.4,37,40,9.17,scattered clouds,0.0,0.0
423,Bogale,MM,2020-05-08 03:34:13,16.28,95.4,98.73,35,92,11.27,overcast clouds,0.0,0.0
424,Bahia Blanca,AR,2020-05-08 03:34:13,-38.72,-62.27,56.05,44,63,14.18,broken clouds,0.0,0.0
425,Yatou,CN,2020-05-08 03:34:13,37.15,122.38,55.02,82,100,14.03,light rain,0.22,0.0
426,Lake Charles,US,2020-05-08 03:29:48,30.21,-93.2,71.6,88,5,6.93,clear sky,0.0,0.0
427,Wajima,JP,2020-05-08 03:34:13,37.4,136.9,68.0,22,0,6.93,clear sky,0.0,0.0
428,Hanna,CA,2020-05-08 03:30:34,51.63,-111.9,55.99,43,99,8.01,light rain,0.21,0.0
429,Khorinsk,RU,2020-05-08 03:34:14,52.17,109.77,56.12,37,99,8.86,overcast clouds,0.0,0.0
430,Beloha,MG,2020-05-08 03:34:14,-25.17,45.05,63.52,93,6,6.33,clear sky,0.0,0.0
431,Boca Do Acre,BR,2020-05-08 03:34:14,-8.75,-67.4,67.35,80,100,4.36,overcast clouds,0.0,0.0
432,Jian,CN,2020-05-08 03:34:14,27.12,114.98,92.48,60,13,16.96,few clouds,0.0,0.0
433,Dobrosloveni,RO,2020-05-08 03:34:14,44.18,24.37,46.99,93,2,2.24,clear sky,0.0,0.0
434,Veraval,IN,2020-05-08 03:34:14,20.9,70.37,87.66,58,0,11.18,clear sky,0.0,0.0
435,Yumen,CN,2020-05-08 03:34:15,40.28,97.2,57.78,26,17,24.0,few clouds,0.0,0.0
436,Lieksa,FI,2020-05-08 03:34:15,63.32,30.02,33.84,87,15,7.07,few clouds,0.0,0.0
437,Matay,EG,2020-05-08 03:30:10,28.42,30.78,69.55,34,0,5.23,clear sky,0.0,0.0
438,Idlib,SY,2020-05-08 03:34:15,35.93,36.63,51.8,100,75,3.36,broken clouds,0.0,0.0
439,Kindu,CD,2020-05-08 03:34:15,-2.95,25.95,70.36,96,100,1.23,overcast clouds,0.0,0.0
440,Leningradskiy,RU,2020-05-08 03:34:16,69.38,178.42,30.72,93,0,4.41,clear sky,0.0,0.0
441,Brownwood,US,2020-05-08 03:34:16,31.71,-98.99,78.8,57,20,17.22,few clouds,0.0,0.0
442,Betafo,MG,2020-05-08 03:34:16,-19.83,46.85,57.52,77,100,3.76,overcast clouds,0.0,0.0
443,Khartoum,SD,2020-05-08 03:29:57,15.55,32.53,84.2,11,22,11.41,few clouds,0.0,0.0
444,Tungor,RU,2020-05-08 03:34:16,53.38,142.96,42.1,65,98,14.92,overcast clouds,0.0,0.0
445,Hovd,MN,2020-05-08 03:34:16,48.01,91.64,55.62,36,32,11.74,scattered clouds,0.0,0.0
446,Katsuura,JP,2020-05-08 03:34:17,35.13,140.3,72.0,39,31,4.7,scattered clouds,0.0,0.0
447,Tete,MZ,2020-05-08 03:34:17,-16.16,33.59,64.4,88,40,2.73,scattered clouds,0.0,0.0
448,Sur,OM,2020-05-08 03:29:58,22.57,59.53,92.86,34,0,4.14,clear sky,0.0,0.0
449,Flin Flon,CA,2020-05-08 03:34:17,54.77,-101.86,35.47,77,94,9.33,overcast clouds,0.0,0.0
450,Hearst,CA,2020-05-08 03:34:17,49.68,-83.67,16.93,96,38,5.03,scattered clouds,0.0,0.0
451,Zhigansk,RU,2020-05-08 03:34:17,66.77,123.37,25.14,93,100,30.09,overcast clouds,0.0,0.0
452,Celestun,MX,2020-05-08 03:34:17,20.87,-90.4,78.62,76,41,16.51,scattered clouds,0.0,0.0
453,Hornepayne,CA,2020-05-08 03:34:18,49.21,-84.77,22.48,93,100,6.91,overcast clouds,0.0,0.0
454,Paengaroa,NZ,2020-05-08 03:34:18,-37.82,176.42,66.99,56,0,3.0,clear sky,0.0,0.0
455,Derzhavinsk,KZ,2020-05-08 03:33:00,51.1,66.32,63.52,43,0,15.41,clear sky,0.0,0.0
456,Nong Khae,TH,2020-05-08 03:32:22,14.34,100.87,98.01,65,31,8.93,scattered clouds,0.0,0.0
457,Shelabolikha,RU,2020-05-08 03:34:18,53.41,82.62,60.8,36,61,8.95,broken clouds,0.0,0.0
458,Port Jervis,US,2020-05-08 03:34:18,41.38,-74.69,53.6,50,75,6.93,broken clouds,0.0,0.0
459,Nikki,BJ,2020-05-08 03:34:19,9.94,3.21,78.15,77,34,9.78,scattered clouds,0.0,0.0
460,Karlivka,UA,2020-05-08 03:34:19,49.46,35.13,46.94,87,39,7.4,scattered clouds,0.0,0.0
461,Saint Andrews,US,2020-05-08 03:34:19,34.05,-81.13,53.6,66,1,4.54,clear sky,0.0,0.0
462,Jackson,US,2020-05-08 03:34:19,42.42,-122.83,80.6,19,1,4.7,clear sky,0.0,0.0
463,Boddam,GB,2020-05-08 03:34:19,57.47,-1.78,50.0,93,24,3.36,few clouds,0.0,0.0
464,Changping,CN,2020-05-08 03:34:19,40.22,116.22,59.0,87,90,4.47,overcast clouds,0.0,0.0
465,San Pedro,PH,2020-05-08 03:34:20,14.35,121.02,95.0,53,20,8.05,few clouds,0.0,0.0
466,Mezen,RU,2020-05-08 03:34:20,65.85,44.24,36.14,88,93,4.05,overcast clouds,0.0,0.0
467,Shache,CN,2020-05-08 03:34:20,38.42,77.24,64.54,42,92,5.14,overcast clouds,0.0,0.0
