City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Ilanskiy,RU,2020-05-06 03:15:16,56.24,96.06,39.42,83,100,18.45
61,Imelda,PH,2020-05-06 03:15:16,7.65,123.95,87.82,65,88,4.34
62,Egvekinot,RU,2020-05-06 03:15:16,66.32,-179.17,27.45,92,0,2.46
63,Saint-Philippe,RE,2020-05-06 03:15:16,-21.36,55.77,73.4,78,28,4.7
64,Saint-Pierre,RE,2020-05-06 03:12:31,-21.34,55.48,71.6,78,38,4.7
65,Torbay,CA,2020-05-06 03:15:17,47.67,-52.73,39.2,100,90,2.24
66,Hithadhoo,MV,2020-05-06 03:15:17,-0.6,73.08,84.69,72,91,7.38
67,Nipani,IN,2020-05-06 03:15:17,16.4,74.38,75.2,94,6,3.36
68,Gimli,CA,2020-05-06 03:15:17,50.63,-96.99,48.0,51,0,10.33
69,Saldanha,ZA,2020-05-06 03:13:16,-33.01,17.94,55.4,87,24,3.36
70,Georgetown,MY,2020-05-06 03:15:18,5.41,100.34,86.0,83,20,4.7
71,Somoto,NI,2020-05-06 03:15:18,13.48,-86.58,75.65,63,32,1.5
72,Xichang,CN,2020-05-06 03:15:18,27.9,102.26,77.74,44,2,5.68
73,Margate,GB,2020-05-06 03:15:18,51.38,1.39,48.99,88,0,14.52
74,Talnakh,RU,2020-05-06 03:15:19,69.49,88.4,24.8,73,100,11.18
75,San Joaquin,VE,2020-05-06 03:15:19,10.26,-67.79,75.47,83,25,6.08
76,Bullhead City,US,2020-05-06 03:11:54,35.15,-114.57,93.2,6,1,7.07
77,Bethel,US,2020-05-06 03:15:19,41.37,-73.41,44.6,48,1,5.06
78,Victoria,HK,2020-05-06 03:12:06,22.29,114.16,89.01,79,79,5.01
79,Luleburgaz,TR,2020-05-06 03:10:33,41.4,27.36,48.2,100,16,2.24
80,Bredasdorp,ZA,2020-05-06 03:15:20,-34.53,20.04,53.6,93,1,2.55
81,Cabo San Lucas,MX,2020-05-06 03:11:44,22.89,-109.91,80.6,39,5,3.36
82,Bafra,TR,2020-05-06 03:15:20,41.57,35.91,57.2,87,75,3.36
83,Lompoc,US,2020-05-06 03:11:58,34.64,-120.46,62.01,72,1,19.46
84,Morehead,US,2020-05-06 03:15:21,37.27,-87.18,51.8,100,1,4.32
85,Mehamn,NO,2020-05-06 03:15:21,71.04,27.85,35.74,84,28,13.11
86,Pindi Gheb,PK,2020-05-06 03:15:22,33.24,72.27,71.6,53,0,6.93
87,Hobart,AU,2020-05-06 03:13:08,-42.88,147.33,60.01,54,75,10.29
88,Paamiut,GL,2020-05-06 03:15:22,61.99,-49.67,35.17,97,100,9.98
89,Thiers,FR,2020-05-06 03:15:22,45.83,3.5,55.4,93,75,3.36
90,Moa,CU,2020-05-06 03:15:22,20.66,-74.94,77.65,82,68,9.4
91,Karakulino,RU,2020-05-06 03:15:23,56.01,53.71,56.43,64,0,7.87
92,Carnarvon,AU,2020-05-06 03:11:03,-24.87,113.63,72.14,62,25,17.49
93,Hermanus,ZA,2020-05-06 03:15:23,-34.42,19.23,59.0,90,13,1.01
94,Qaanaaq,GL,2020-05-06 03:15:23,77.48,-69.36,11.14,83,97,4.85
95,Sibolga,ID,2020-05-06 03:14:28,1.74,98.78,82.69,70,100,0.92
96,Makakilo City,US,2020-05-06 03:15:24,21.35,-158.09,84.2,51,20,8.05
97,Roald,NO,2020-05-06 03:15:24,62.58,6.13,46.0,87,100,17.22
98,Kenai,US,2020-05-06 03:15:24,60.55,-151.26,60.8,33,20,16.11
99,Bose,IT,2020-05-06 03:15:24,45.46,8.01,57.0,79,12,3.31
100,Mareeba,AU,2020-05-06 03:15:24,-17.0,145.43,75.99,78,40,13.87
101,Marsa Matruh,EG,2020-05-06 03:15:24,31.35,27.25,62.6,72,40,9.17
102,Tsiroanomandidy,MG,2020-05-06 03:15:25,-18.77,46.03,61.3,92,0,2.77
103,Ahipara,NZ,2020-05-06 03:15:25,-35.17,173.17,60.04,55,0,14.45
104,Vachi,RU,2020-05-06 03:15:25,42.07,47.22,49.66,67,100,5.73
105,College,US,2020-05-06 03:15:25,64.86,-147.8,59.0,28,75,4.14
106,Torit,SS,2020-05-06 03:15:26,4.41,32.57,72.21,79,79,3.29
107,Tautira,PF,2020-05-06 03:15:26,-17.73,-149.15,80.6,83,79,2.24
108,Iqaluit,CA,2020-05-06 03:15:26,63.75,-68.51,10.4,72,5,2.24
109,Vostok,RU,2020-05-06 03:13:24,46.49,135.88,53.82,41,66,9.46
110,Vardo,NO,2020-05-06 03:15:26,70.37,31.11,39.2,64,75,11.41
111,Beysehir,TR,2020-05-06 03:15:27,37.68,31.72,44.83,82,0,4.45
112,Kruisfontein,ZA,2020-05-06 03:15:27,-34.0,24.73,55.26,79,6,5.99
113,Buzmeyin,TM,2020-05-06 03:15:27,38.05,58.21,66.2,68,0,2.24
114,Evensk,RU,2020-05-06 03:15:27,61.95,159.23,30.24,97,100,36.19
115,Vila Franca Do Campo,PT,2020-05-06 03:15:28,37.72,-25.43,60.8,82,75,9.17
116,Ambagarh Chauki,IN,2020-05-06 03:15:28,20.78,80.72,94.21,34,19,6.24
117,Thompson,CA,2020-05-06 03:15:28,55.74,-97.86,28.4,63,5,4.7
118,Waingapu,ID,2020-05-06 03:12:39,-9.66,120.26,86.81,64,94,11.07
119,Keti Bandar,PK,2020-05-06 03:15:28,24.14,67.45,85.17,69,0,13.09
120,Sana,YE,2020-05-06 03:15:12,15.35,44.21,63.09,65,69,1.7
121,Lake Cowichan,CA,2020-05-06 03:15:29,48.83,-124.05,62.6,55,75,4.7
122,Jaunpur,IN,2020-05-06 03:15:29,25.73,82.68,75.2,73,0,5.82
123,Kloulklubed,PW,2020-05-06 03:15:29,7.04,134.26,86.0,70,75,11.41
124,Poum,NC,2020-05-06 03:15:30,-20.23,164.02,70.32,82,100,22.77
125,Yarkovo,RU,2020-05-06 03:15:30,57.4,67.08,59.11,50,8,11.27
126,Klaksvik,FO,2020-05-06 03:12:05,62.23,-6.59,44.6,87,92,19.46
127,Bardiyah,LY,2020-05-06 03:14:25,31.76,25.09,59.32,84,0,10.6
128,Tiksi,RU,2020-05-06 03:15:31,71.69,128.87,24.15,97,100,8.39
129,Ilulissat,GL,2020-05-06 03:15:31,69.22,-51.1,26.6,63,0,10.29
130,Nova Olinda Do Norte,BR,2020-05-06 03:15:31,-3.89,-59.09,75.34,97,52,0.94
131,Jalu,LY,2020-05-06 03:15:31,29.03,21.55,60.58,45,0,8.12
132,Tutoia,BR,2020-05-06 03:11:04,-2.76,-42.27,77.92,89,37,7.9
133,Srednekolymsk,RU,2020-05-06 03:15:32,67.45,153.68,31.8,93,93,6.62
