,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,La Fria,VE,77.49,overcast clouds,8.22,-72.24,Estacionamiento de los toledos.
302,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
309,Black River,JM,80.01,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
310,Namibe,AO,78.66,clear sky,-15.2,12.15,Chik-Chik Namibe
313,Farah,AF,80.74,clear sky,32.5,62.5,
319,Vaitape,PF,82.92,clear sky,-16.52,-151.75,Hotel Maitai Polynesia
336,Flinders,AU,80.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
337,Atar,MR,79.84,clear sky,20.52,-13.05,Oumou Elghoura
338,Maragogi,BR,77.02,overcast clouds,-9.01,-35.22,Hotel Praia Dourada
340,Huilong,CN,78.01,overcast clouds,31.81,121.66,Hilton Garden Inn Qidong
343,Bambous Virieux,MU,75.0,scattered clouds,-20.34,57.76,Casa Tia Villa
349,Bonoua,CI,82.4,few clouds,5.27,-3.6,Hotel Bon Samaritian
350,Faanui,PF,82.06,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
358,Nishihara,JP,75.2,overcast clouds,26.18,127.76,Minshuku Agaihama
365,Soto La Marina,MX,78.01,clear sky,23.77,-98.22,Hotel Chicago
373,Honiara,SB,87.8,scattered clouds,-9.43,159.95,Heritage Park Hotel
374,Karratha,AU,89.1,broken clouds,-20.74,116.85,ibis Styles Karratha
375,Barentu,ER,79.74,overcast clouds,15.11,37.59,
381,Domoni,KM,80.22,scattered clouds,-12.26,44.53,Loulou
388,Filingue,NE,84.67,broken clouds,14.35,3.32,
390,Abu Dhabi,AE,84.2,scattered clouds,24.47,54.37,Beach Rotana
402,Alugan,PH,85.51,broken clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
405,Ajra,IN,78.8,broken clouds,16.12,74.2,Hotel Minerva Paradise
406,Bilma,NE,76.75,clear sky,18.69,12.92,Expeditions Ténére voyages
407,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
409,Acapulco,MX,80.6,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
413,Naze,JP,77.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
415,Zhob,PK,78.82,few clouds,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
416,Wanning,CN,87.93,broken clouds,18.8,110.4,Paradise Hotel
420,Jibuti,DJ,86.0,scattered clouds,11.5,42.5,Campement touristique DANKALELO
434,Veraval,IN,87.66,clear sky,20.9,70.37,Lords Inn Somnath
441,Brownwood,US,78.8,few clouds,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
443,Khartoum,SD,84.2,few clouds,15.55,32.53,Hotel China
452,Celestun,MX,78.62,scattered clouds,20.87,-90.4,Posada Lilia
459,Nikki,BJ,78.15,scattered clouds,9.94,3.21,Hotel John
462,Jackson,US,80.6,clear sky,42.42,-122.83,Agate Village Apartments
470,Kiama,AU,80.01,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
479,Tecoanapa,MX,79.11,broken clouds,16.52,-98.75,Hotel Manglares
490,Kulhudhuffushi,MV,83.64,overcast clouds,6.62,73.07,Haajy Guest House 1
495,Ziyang,CN,86.74,overcast clouds,29.25,117.85,Wuyuan Great Wall Hotel
499,Odienne,CI,75.2,broken clouds,9.51,-7.57,Oustaz Vame DIAKITE
502,Ugoofaaru,MV,84.02,overcast clouds,5.67,73.0,Ungoofaaru Inn
509,Olinda,BR,82.4,few clouds,-8.01,-34.86,Hotel 5 Sóis
510,Youkounkoun,GN,80.87,clear sky,12.53,-13.13,
513,Muzaffarabad,PK,79.39,broken clouds,34.37,73.47,Pearl Continental Muzaffarabad
514,Pitimbu,BR,75.2,few clouds,-7.47,-34.81,Reserva do Abiaí
517,Guhagar,IN,88.63,clear sky,17.48,73.19,Hotel Seawinds
518,Tayu,ID,89.64,few clouds,-6.54,111.05,Toko pakaian bu is Tayu
524,Garowe,SO,79.34,few clouds,8.41,48.48,Curubo Hotel
526,Taunggyi,MM,85.21,clear sky,20.78,97.03,True Treasure Hotel
532,Yeppoon,AU,80.6,broken clouds,-23.13,150.73,Villa Mar Colina
534,Ulladulla,AU,79.0,clear sky,-35.35,150.47,Sandpiper Motel
